ID,UPDATE TIME,ALKALI,ALKALI_1,ALKALI_FLAG_W,ALKALI_1_FLAG_W
-,-,UMOL/KG,UMOL/KG,-,-
A14,A12,F9.1,F9.1,I1,I1
MR1703C1000202,201708021425,   2378.5,   -999.0,1,9
MR1703C1000206,201708021425,   2380.0,   -999.0,1,9
MR1703C1000207,201708021425,   2376.6,   -999.0,1,9
MR1703C1000208,201708021425,   2378.2,   -999.0,1,9
MR1703C1000209,201708021425,   2376.5,   -999.0,1,9
MR1703C1000210,201708021425,   2378.8,   -999.0,1,9
MR1703C1000211,201708021425,   2376.4,   -999.0,1,9
MR1703C1000212,201708021425,   2373.3,   -999.0,1,9
MR1703C1000213,201708021425,   2371.6,   -999.0,1,9
MR1703C1000214,201708021425,   2368.6,   -999.0,1,9
MR1703C1000215,201708021425,   2376.7,   -999.0,1,9
MR1703C1000216,201708021425,   2378.1,   -999.0,1,9
MR1703C1000217,201708021425,   2367.4,   -999.0,1,9
MR1703C1000218,201708021425,   2376.2,   -999.0,1,9
MR1703C1000219,201708021425,   2365.8,   -999.0,1,9
MR1703C1000220,201708021425,   2367.6,   -999.0,1,9
MR1703C1000221,201708021425,   2365.8,   -999.0,1,9
MR1703C1000222,201708021425,   2375.1,   -999.0,1,9
MR1703C1000223,201708021425,   2366.4,   -999.0,1,9
MR1703C1000224,201708021425,   2364.6,   -999.0,1,9
MR1703C1000225,201708021425,   2363.4,   -999.0,1,9
MR1703C1000226,201708021425,   2372.4,   -999.0,1,9
MR1703C1000227,201708021425,   2363.8,   -999.0,1,9
MR1703C0200102,201708021425,   2351.1,   -999.0,1,9
MR1703C0200106,201708021425,   2348.7,   -999.0,1,9
MR1703C0200107,201708021425,   2347.9,   -999.0,1,9
MR1703C0200108,201708021425,   2349.1,   -999.0,1,9
MR1703C0200109,201708021425,   2347.3,   -999.0,1,9
MR1703C0200110,201708021425,   2345.1,   -999.0,1,9
MR1703C0200111,201708021425,   2349.8,   -999.0,1,9
MR1703C0200112,201708021425,   2347.8,   -999.0,1,9
