EXPOCODE,SECT,CRUISE,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,CTDPRS,CTDPRS_FLAG_W,CTDDPT,CTDDPT_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDTMP_1,CTDTMP_1_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDSAL_1,CTDSAL_1_FLAG_W,CTDCND,CTDCND_FLAG_W,CTDCND_1,CTDCND_1_FLAG_W,CTDOXY_2,CTDOXY_2_FLAG_W,CTDOXY_3,CTDOXY_3_FLAG_W,CTDOXV_2,CTDOXV_2_FLAG_W,CTDOXV_3,CTDOXV_3_FLAG_W,THETA,THETA_FLAG_W,THETA_1,THETA_1_FLAG_W,SIG0,SIG0_FLAG_W,SIG0_1,SIG0_1_FLAG_W,XMISS,XMISS_FLAG_W,XMISSCP,XMISSCP_FLAG_W,XMISSV,XMISSV_FLAG_W,FLUOR,FLUOR_FLAG_W,TURB,TURB_FLAG_W,CDOM,CDOM_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,OXYGEN_1,OXYGEN_1_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,SILCAT,SILCAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,TCARBN,TCARBN_FLAG_W,TCARBN_1,TCARBN_1_FLAG_W,ALKALI,ALKALI_FLAG_W,ALKALI_1,ALKALI_1_FLAG_W,DNSSAL,DNSSAL_FLAG_W,DNSSAL_1,DNSSAL_1_FLAG_W
-,-,-,UTC,UTC,DEG,DEG,M,-,-,-,-,-,DBAR,-,M,-,ITS-90,-,ITS-90,-,PSS-78,-,PSS-78,-,S/m,-,S/m,-,UMOL/KG,-,UMOL/KG,-,V,-,V,-,DEG C,-,DEG C,-,KG/CUM,-,KG/CUM,-,%TRANCE,-,1/M,-,V,-,UG/L,-,FTU,-,UG/L,-,PSS-78,-,UMOL/KG,-,UMOL/KG,-,UMOL/KG,-,UMOL/KG,-,UMOL/KG,-,UMOL/KG,-,UMOL/KG,-,UMOL/KG,-,UMOL/KG,-,UMOL/KG,-,UMOL/KG,-,G/KG,-,,
A14,A6,A14,A10,A5,F8.4,F9.4,I5,A6,I3,A7,A7,I1,F9.1,I1,F9.1,I1,F9.4,I1,F9.4,I1,F9.4,I1,F9.4,I1,F11.6,I1,F11.6,I1,F9.2,I1,F9.2,I1,F9.4,I1,F9.4,I1,F9.4,I1,F9.4,I1,F9.4,I1,F9.4,I1,F9.3,I1,F9.4,I1,F9.4,I1,F9.3,I1,F9.3,I1,F9.3,I1,F9.4,I1,F9.2,I1,F9.2,I1,F9.2,I1,F9.2,I1,F9.2,I1,F9.3,I1,F9.2,I1,F9.1,I1,F9.1,I1,F9.1,I1,F9.1,I1,F9.4,I1,,
  49NZ20170529,  NONE,      MR17-03C,05/29/2017,06:35, 26.2545, 126.1680, 1972,   C01,  1,      0,   -999,9,   -999.0,9,   -999.0,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.000000,9,-999.000000,9,  -999.00,9,  -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9, -999.000,9,-999.0000,9,-999.0000,9, -999.000,9, -999.000,9, -999.000,9,  34.6303,2,  -999.00,9,  -999.00,9,0.15,1,0.01,1,1.07,1,0.03,1,0.01,1,   -999.0,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,-999,9
  49NZ20170529,  NONE,      MR17-03C,05/29/2017,06:35, 26.2545, 126.1680, 1972,   C01,  1,     36, A12007,2,     66.3,2,     65.8,2,  24.4717,2,  24.4638,2,  34.9010,2,  34.9024,2,   5.241621,2,   5.240988,2,   205.65,2,   205.94,2,   2.5104,2,   2.4604,2,  24.4575,2,  24.4497,2,  23.4302,2,  23.4335,2,   97.791,2,   0.0894,2,   4.6258,2,    0.503,2,    0.099,2,    0.942,2,  34.9042,2,   206.01,2,  -999.00,9,0.05,1,0.01,1,1.32,1,0.044,1,0.02,1,   -999.0,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,-999,9
  49NZ20170529,  NONE,      MR17-03C,05/29/2017,06:35, 26.2545, 126.1680, 1972,   C01,  1,     35, A12006,2,     66.0,2,     65.5,2,  24.4483,2,  24.4255,2,  34.9020,2,  34.9051,2,   5.239308,2,   5.237355,2,   205.86,2,   206.08,2,   2.5117,2,   2.4606,2,  24.4343,2,  24.4114,2,  23.4378,2,  23.4470,2,   97.803,2,   0.0888,2,   4.6264,2,    0.539,2,    0.089,2,    1.550,2,-999.0000,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9,  -999.00,9,   -999.0,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,-999,9
  49NZ20170529,  NONE,      MR17-03C,05/29/2017,06:35, 26.2545, 126.1680, 1972,   C01,  1,     34, A12005,2,     66.0,2,     65.5,2,  24.4238,2,  24.4402,2,  34.9035,2,  34.9038,2,   5.236961,2,   5.238712,2,   206.02,2,   205.95,2,   2.5123,2,   2.4598,2,  24.4097,2,  24.4262,2,  23.4463,2,  23.4416,2,   97.814,2,   0.0884,2,   4.6268,2,    0.559,2,    0.089,2,    1.034,2,-999.0000,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9,  -999.00,9,   -999.0,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,-999,9
  49NZ20170529,  NONE,      MR17-03C,05/29/2017,06:35, 26.2545, 126.1680, 1972,   C01,  1,     33, A12004,2,    706.6,2,    700.8,2,   6.7312,2,   6.7292,2,  34.3274,2,  34.3287,2,   3.474317,2,   3.474248,2,    97.22,2,    97.30,2,   1.1028,2,   1.0849,2,   6.6648,2,   6.6627,2,  26.9345,2,  26.9358,2,   99.592,2,   0.0164,2,   4.7109,2,    0.048,2,    0.075,2,    8.580,2,-999.0000,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9,  -999.00,9,   -999.0,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,-999,9
  49NZ20170529,  NONE,      MR17-03C,05/29/2017,06:35, 26.2545, 126.1680, 1972,   C01,  1,     32, A12003,2,    706.5,2,    700.7,2,   6.7333,2,   6.7327,2,  34.3273,2,  34.3284,2,   3.474487,2,   3.474534,2,    97.15,2,    97.29,2,   1.1024,2,   1.0849,2,   6.6668,2,   6.6662,2,  26.9341,2,  26.9351,2,   99.609,2,   0.0157,2,   4.7117,2,    0.048,2,    0.061,2,    8.248,2,-999.0000,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9,  -999.00,9,   -999.0,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,-999,9
  49NZ20170529,  NONE,      MR17-03C,05/29/2017,06:35, 26.2545, 126.1680, 1972,   C01,  1,     31, A12002,2,   1978.7,2,   1956.5,2,   3.6920,2,   3.6927,2,  34.4632,2,  34.4646,2,   3.267877,2,   3.268054,2,    75.14,2,    75.13,2,   0.8647,2,   0.8438,2,   3.5327,2,   3.5334,2,  27.4062,2,  27.4073,2,   99.888,2,   0.0045,2,   4.7249,2,    0.051,2,    0.036,2,    9.922,2,-999.0000,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9,  -999.00,9,   -999.0,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,-999,9
  49NZ20170529,  NONE,      MR17-03C,05/29/2017,06:35, 26.2545, 126.1680, 1972,   C01,  1,     30, A12001,9,   -999.0,9,   -999.0,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.000000,9,-999.000000,9,  -999.00,9,  -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9, -999.000,9,-999.0000,9,-999.0000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9,  -999.00,9,   -999.0,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,-999,9
