ID,UPDATE TIME,TCARBN,TCARBN_FLAG_W,TCARBN_1,TCARBN_1_FLAG_W
-,,UMOL/KG,-,UMOL/KG,-
A14,A12,F9.1,I1,F9.1,I1
MR1703C0200100,201709261500,   -999.0,9,   -999.0,9
MR1703C0200136,201709261500,   -999.0,9,   -999.0,9
MR1703C0200135,201709261500,   -999.0,9,   -999.0,9
MR1703C0200134,201709261500,   -999.0,9,   -999.0,9
MR1703C0200133,201709261500,   -999.0,9,   -999.0,9
MR1703C0200132,201709261500,   -999.0,9,   -999.0,9
MR1703C0200131,201709261500,   -999.0,9,   -999.0,9
MR1703C0200130,201709261500,   -999.0,9,   -999.0,9
MR1703C0200129,201709261500,   -999.0,9,   -999.0,9
MR1703C0200128,201709261500,   -999.0,9,   -999.0,9
MR1703C0200127,201709261500,   2252.6,1,   -999.0,9
MR1703C0200126,201709261500,   2281.0,1,   -999.0,9
MR1703C0200125,201709261500,   2295.4,1,   -999.0,9
MR1703C0200124,201709261500,   2315.5,1,   -999.0,9
MR1703C0200123,201709261500,   2319.0,1,   -999.0,9
MR1703C0200122,201709261500,   2322.0,1,   -999.0,9
MR1703C0200121,201709261500,   2321.0,1,   -999.0,9
MR1703C0200120,201709261500,   2326.5,1,   -999.0,9
MR1703C0200119,201709261500,   2334.9,1,   -999.0,9
MR1703C0200118,201709261500,   2331.1,1,   -999.0,9
MR1703C0200117,201709261500,   2359.7,1,   -999.0,9
MR1703C0200116,201709261500,   2397.0,1,   -999.0,9
MR1703C0200115,201709261500,   2414.2,1,   -999.0,9
MR1703C0200114,201709261500,   2412.9,1,   -999.0,9
MR1703C0200113,201709261500,   2408.0,1,   -999.0,9
MR1703C0200112,201709261500,   2398.7,1,   -999.0,9
MR1703C0200111,201709261500,   2383.4,1,   -999.0,9
MR1703C0200110,201709261500,   2389.3,1,   -999.0,9
MR1703C0200109,201709261500,   2383.3,1,   -999.0,9
MR1703C0200108,201709261500,   2380.0,1,   -999.0,9
MR1703C0200107,201709261500,   2376.6,1,   -999.0,9
MR1703C0200106,201709261500,   2364.9,1,   -999.0,9
MR1703C0200105,201709261500,   -999.0,9,   -999.0,9
MR1703C0200104,201709261500,   -999.0,9,   -999.0,9
MR1703C0200103,201709261500,   -999.0,9,   -999.0,9
MR1703C0200102,201709261500,   2365.9,1,   -999.0,9
MR1703C0200101,201709261500,   -999.0,9,   -999.0,9
MR1703C1000200,201709261500,   -999.0,9,   -999.0,9
MR1703C1000236,201709261500,   -999.0,9,   -999.0,9
MR1703C1000235,201709261500,   -999.0,9,   -999.0,9
MR1703C1000234,201709261500,   -999.0,9,   -999.0,9
MR1703C1000233,201709261500,   -999.0,9,   -999.0,9
MR1703C1000232,201709261500,   -999.0,9,   -999.0,9
MR1703C1000231,201709261500,   -999.0,9,   -999.0,9
MR1703C1000230,201709261500,   -999.0,9,   -999.0,9
MR1703C1000229,201709261500,   -999.0,9,   -999.0,9
MR1703C1000228,201709261500,   -999.0,9,   -999.0,9
MR1703C1000227,201709261500,   2340.9,1,   -999.0,9
MR1703C1000226,201709261500,   2333.5,1,   -999.0,9
MR1703C1000225,201709261500,   2332.9,1,   -999.0,9
MR1703C1000224,201709261500,   2332.4,1,   -999.0,9
MR1703C1000223,201709261500,   2334.4,1,   -999.0,9
MR1703C1000222,201709261500,   2336.3,1,   -999.0,9
MR1703C1000221,201709261500,   2336.6,1,   -999.0,9
MR1703C1000220,201709261500,   2338.5,1,   -999.0,9
MR1703C1000219,201709261500,   2342.2,1,   -999.0,9
MR1703C1000218,201709261500,   2346.1,1,   -999.0,9
MR1703C1000217,201709261500,   2349.6,1,   -999.0,9
MR1703C1000216,201709261500,   2346.5,1,   -999.0,9
MR1703C1000215,201709261500,   2345.2,1,   -999.0,9
MR1703C1000214,201709261500,   2354.8,1,   -999.0,9
MR1703C1000213,201709261500,   2342.9,1,   -999.0,9
MR1703C1000212,201709261500,   2342.3,1,   -999.0,9
MR1703C1000211,201709261500,   2340.4,1,   -999.0,9
MR1703C1000210,201709261500,   2342.0,1,   -999.0,9
MR1703C1000209,201709261500,   2343.8,1,   -999.0,9
MR1703C1000208,201709261500,   2346.1,1,   -999.0,9
MR1703C1000207,201709261500,   2348.4,1,   -999.0,9
MR1703C1000206,201709261500,   2348.9,1,   -999.0,9
MR1703C1000205,201709261500,   -999.0,9,   -999.0,9
MR1703C1000204,201709261500,   -999.0,9,   -999.0,9
MR1703C1000203,201709261500,   -999.0,9,   -999.0,9
MR1703C1000202,201709261500,   2350.3,1,   -999.0,9
MR1703C1000201,201709261500,   -999.0,9,   -999.0,9
MR1703C1600100,201709261500,   -999.0,9,   -999.0,9
MR1703C1600136,201709261500,   -999.0,9,   -999.0,9
MR1703C1600135,201709261500,   -999.0,9,   -999.0,9
MR1703C1600134,201709261500,   -999.0,9,   -999.0,9
MR1703C1600133,201709261500,   -999.0,9,   -999.0,9
MR1703C1600132,201709261500,   -999.0,9,   -999.0,9
MR1703C1600131,201709261500,   -999.0,9,   -999.0,9
MR1703C1600130,201709261500,   -999.0,9,   -999.0,9
MR1703C1600129,201709261500,   -999.0,9,   -999.0,9
