Long,Lat,Name
121.95,24.8333,Kueishan Island
122,24.8333,"Kueishan Island, offshore"
122.5667,25.0667,Tangyin
122.7,24.849,Yonaguni Knoll IV
123.3081,24.8674,Futagoyama
123.841,24.855,Hatoma Knoll
124.1017,24.3483,Taketomi Thermal Area
124.5416,25.0916,Tarama Knoll
124.3733,25.2638,Yokosuka
124.88,25.23,Irabu Knoll
126.4125,26.302,Daisan-Kume Knoll
126.2233,26.555,Higa
127.0833,27.2667,Izena Cauldron
126.975,27.5417,Sakai
127.1417,27.575,Natsushima 84-1 Knoll
127.5333,27.4916,Yoron Hole
126.8966,27.7908,"North Knoll, Iheya Ridge"
127.6417,28.3917,Minami-Ensei Knoll
128.1724,28.4393,Higashi-Ensei
128.1028,28.8137,"Okinawa Trough, Site ES2"
128.75,28.45,Daiichi-Amami Knoll
129.3333,29.2166,Kodakara-jima
129.597,29.461,Akuseki-jima
129.0827,30.3303,"Okinawa Trough, Site ES1"
130.33,30.75,"Nagahama Bay, Iwo-dake Volcano"
